PLAZA ID,PLAZA NAME,PLAZA TYPE,PLAZA CITY,PLAZA STATE,CONCESSIONAIRE
375011,Gurapali,National,Ganjam,Odisha,NHAI
375012,SERGARH TOLL plaza,National,Balasore,Odisha,NHAI
375013,Srirampur toll plaza,National,Jajpur,Odisha,NHAI
375014,PANIKOILI TOLL plaza,National,Jajpur,Odisha,NHAI
375015,Pipili,National,Pipili,Odisha,NHAI
375016,Gudipada or Gangapada Toll plaza,National,Khordha,Odisha,NHAI
375017,Hasanpur,National,Jaipur - Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED
375018,Kantaghar,National,Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED
375019,Banajodi,National,Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED
375020,Khamara Fee Plaza,National,Khamar,Odisha,NHAI
375022,Brajrajnagar Toll Plaza,National,Brajrajnagar,Odisha,NHAI
375023,Bolangir,National,Bolangir,Odisha,NHAI
375024,Padmanavapur Toll Plaza,National,Baripada,Odisha,NHAI
375025,Sukhuapada Toll Plaza,National,Baripada,Odisha,NHAI
375026,Bideibadkudar Toll Plaza,National,Deogarh,Odisha,NHAI
375027,Rangamatia Toll Plaza,National,Daspalla,Odisha,NHAI
375028,Khireitangiri Toll Plaza,National,Khireitangiri,Odisha,Montecarlo Singhara Binjabaha
375029,Janasanpur Toll Plaza,National,Janasanpur,Odisha,Montecarlo Singhara Binjabaha
375030,Kandra Toll Plaza,National,Kandra,Odisha,Montecarlo Singhara
375031,Jharpokharia Toll Plaza,National,Jharpokharia,Odisha,NHAI
375032,Bhagada Narayanpur Toll Plaza,National,Bhadrak,Odisha,NHAI
378001,Raha,National,Guwahati,Assam,NHAI
378003,Patgaon Toll plaza,National,Kokrajhar,Assam,NHAI
378004,Mikirati Hawgaon Toll plaza,National,Daboka,Assam,NHAI
378005,Nazirakhat Toll plaza,National,Sonapur,Assam,NHAI
378006,Madanpur Toll plaza,National,Madanpur,Assam,NHAI
378007,Dahalapara,National,Bongoigaon,Assam,NHAI
378008,Raha,National,Guwahati,Assam,NHAI
378009,Patgaon Toll Plaza,National,Kokrajhar,Assam,NHAI
378010,Manderdisa,National,Dima Hasao,Assam,NHAI
378011,Balachera Toll Plaza,National,Cachar,Assam,NHAI
378012,Galia Toll Plaza,National,Galia,Assam,NHAI
379001,Pasyih,National,Jowai,Meghalaya,Pasyih
379002,Lomshinong,National,Khliehriat,Meghalaya,Lomshinong
379003,Diengpasoh Toll Plaza,National,Ri-Bhoi,Meghalaya,Nandini Talukdar
379004,Pasyih,National,Jowai,Meghalaya,NHAI
379005,Lomshinong,National,Khliehriat,Meghalaya,NHAI
379006,Pahammawlein Toll plaza,National,Ri-Bhoi,Meghalaya,M/s Sahakar Global Ltd
379007,Diengpasoh Toll plaza,National,Ri-Bhoi,Meghalaya,Nandini Talukdar
380001,Didar Ganj,National,Patna,Bihar,BPAPA
380002,Saidpur Patedha,National,Saidpur Patedha (Sarai),Bihar,NHAI
380003,Kharik,National,Bhagalpur,Bihar,NHAI
380007,Sonho Fee Plaza,National,Chhapra,Bihar,NHAI
380008,Pokhraira Fee Plaza,National,Sitamarhi,Bihar,NHAI
380009,Chapraitha Fee Plaza,National,Chhapra,Bihar,NHAI
380010,Chapwa,National,Patna,Bihar,NHAI
380011,Brindawan Fee Plaza,National,Chhapra,Bihar,NHAI
380012,Saukala Toll plaza,National,Aurangabad,Bihar,NHAI
380014,Saidpur Patedha,National,Saidpur Patedha (Sarai),Bihar,NHAI
380015,Maranga,National,Purnia,Bihar,NHAI
380016,Parsoni Khem,National,Purvi Champaran,Bihar,NHAI
380017,Barsoni Toll Plaza,National,Purnia,Bihar,NHAI
380018,Runni Shaidpur Toll plaza,National,Sitamarhi,Bihar,NHAI
380019,Balgudar Toll Plaza,National,Lakhisarai,Bihar,NHAI
380020,Kharik,National,Bhagalpur,Bihar,NHAI
380022,Bhagalpur Toll plaza,National,Bhagalpur,Bihar,NHAI
380023,Bishunpurwa,National,Motihari,Bihar,NHAI
380024,Sonho Fee Plaza,National,Chhapra,Bihar,NHAI
380025,Pokhraira Fee Plaza,National,Sitamarhi,Bihar,NHAI
380026,Chapraitha Fee Plaza,National,Chhapra,Bihar,NHAI
380027,Chapwa,National,Patna,Bihar,NHAI
380028,Brindawan Fee Plaza,National,Chhapra,Bihar,NHAI
380029,Khaikhat Toll Plaza,National,Kishangarh,Bihar,NHAI
380030,Toda Toll Plaza,National,Nalanda,Bihar,NHAI
381000,Managethi Toll Plaza,National,Ariyalur,Tamil Nadu,Kallagam Meensurutti Hwy Pvt Ltd
392001,Tand Balidih,National,Bokaro,Jharkhand,NHAI
392003,Ghanghri Toll Plaza,National,Giridih,Jharkhand,NHAI
392004,Sosokhurd,National,Dhanbad,Jharkhand,NHAI
392005,Navasari,National,Dhanbad,Jharkhand,NHAI
392006,Kothiya,National,Sahibganj,Jharkhand,NHAI
392007,KOKPARA TOLL plaza,National,Kokpara,Jharkhand,NHAI
392008,Rasoiya Dhamna Toll plaza,National,Hazaribagh,Jharkhand,NHAI
392010,Tand Balidih,National,Bokaro,Jharkhand,NHAI
392011,Murma Toll Plaza,National,Ranchi,Jharkhand,NHAI
392012,Sosokhurd,National,Dhanbad,Jharkhand,NHAI
392013,Ghanghri Toll plaza,National,Giridih,Jharkhand,NHAI
392014,Pundag,National,Ranchi,Jharkhand,NHAI
392015,Navasari,National,Dhanbad,Jharkhand,NHAI
392016,Kothiya,National,Sahibganj,Jharkhand,NHAI
392017,KOKPARA TOLL PLAZA,National,Kokpara,Jharkhand,NHAI
392018,Nagwan Toll Plaza,National,Hazaribagh,Jharkhand,NHAI
392019,Edalhatu Toll Plaza,National,Ranchi,Jharkhand,NHAI
392020,Pata Toll Plaza,National,Chandil,Jharkhand,NHAI
392021,Pupunki Toll Plaza,National,Bokaro,Jharkhand,R.K.Jain Infra Projects Pvt
517000,Alooground Manali,State,Manali,Himachal Pradesh,Tourism Development Manali
517002,Jagatsukh,State,Manali,Himachal Pradesh,Tourism Development Manali
520001,ALEP Ramp Plaza 269,State,Sandila,Uttar Pradesh,Eagle Infra India Ltd
520002,ALEP Ramp Plaza 284,State,Lucknow,Uttar Pradesh,Eagle Infra India Ltd
520003,ALEP Ramp Plaza 204,State,Kannauj,Uttar Pradesh,Eagle Infra India Ltd
520004,ALEP Ramp Plaza 101,State,Saifai,Uttar Pradesh,Eagle Infra India Ltd
520005,Jewar Toll Plaza,State,Jewar,Uttar Pradesh,Jaypee Infratech Ltd
520006,Agra Toll Plaza,State,Agra,Uttar Pradesh,Jaypee Infratech Ltd
520007,Mathura Toll Plaza,State,Mathura,Uttar Pradesh,Jaypee Infratech Ltd
520008,Rehan Kalan,State,Agra,Uttar Pradesh,Khalatkar Construction
520009,Bajna Ramp Toll Plaza,State,Mathura,Uttar Pradesh,Jaypee Infratech Ltd
520010,A (09+270 KM),State,Lucknow,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520011,B (36 + 860 KM),State,Barabanki,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520012,C (58 + 360 KM),State,Raebareilly,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520013,D (81 + 915 KM),State,Sultanpur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520014,E (121 + 870 KM),State,Sultanpur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520015,F (138 + 155 KM),State,Sultanpur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520016,G (161 + 085 KM),State,Sultanpur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520017,H (182 + 280 KM),State,Sultanpur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520018,I (203 + 399 KM),State,Azamgarh,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520019,J (233 + 980 KM),State,Azamgarh,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520020,K (253 + 840 KM),State,Azamgarh,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520021,L (294 + 245 KM),State,Ghazipur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520022,M (335 + 500 KM),State,Ghazipur,Uttar Pradesh,Prakash Asphalting and Toll Hwys
520023,RTP36 Yamuna Toll Plaza,State,Jewar,Uttar Pradesh,M/s. Jaypee Infratech Ltd
520030,ALEP Ramp Plaza 133,State,Etawah,Uttar Pradesh,Sahakar Global Ltd
520032,Jorwara Toll Plaza,National,Jorwara,Uttar Pradesh,NHAI
536002,HSTL TP01- Khadki,State,Khadki,Gujarat,L and T HSTL
536003,HSTL TP02- Gaman Bariya na muvada,State,Gaman Bariya na muvada,Gujarat,L and T HSTL
536004,HSTL TP03- Galiya Danti,State,Galiya Danti,Gujarat,L and T HSTL
536005,HSTL TP04- Gajan,State,Gajan,Gujarat,L and T HSTL
536006,Bamanbore,State,Surendranagar,Gujarat,PWD Rajkot
536007,Bagodara,State,Ahmedabad,Gujarat,PWD Rajkot
536008,AMTL-TP-01 Vasna-Iyava,State,Vasna-Iyava,Gujarat,L and T Ahmedabad-Maliya Tollway Limited.
536009,AMTL-TP02-Malvan,State,Malvan,Gujarat,L and T Ahmedabad-Maliya Tollway Limited.
536010,AMTL-TP03-Soldi,State,Soldi,Gujarat,L and T Ahmedabad-Maliya Tollway Limited.
536011,AMTL-TP04-Aniyari,State,Aniyari,Gujarat,L and T Ahmedabad-Maliya Tollway Limited.
536012,Vanpari-Paddhari,State,Rajkot,Gujarat,L and T
536013,Soyal,State,Jamnagar,Gujarat,L and T
536014,Jamnagar Bypass- Vadinar,State,Jamnagar,Gujarat,L and T
536015,Bochasan Toll Plaza,State,Anand,Gujurat,RKC Infrabuilt
536017,Vataman Toll Plaza,State,Vataman,Gujarat,MAXLINK
536018,Vadodra Toll Plaza,State,Gujarat,Gujarat,Gujarat Road and Infra Co Ltd
536019,Halol Toll Plaza Toll Plaza,State,Vadodra,Gujarat,Gujarat Road and Infra Co Ltd
536020,Adalaj Toll Plaza,State,Adalaj,Gujarat,Gujarat Road and Infra Co Ltd
536021,Mehsana Toll Plaza,State,Mehsana,Gujarat,Gujarat Road and Infra Co Ltd
536022,Alva Toll Plaza,State,Bayad,Gujarat,Ashirwad Smart Infralink
540001,Rajiv Gandhi Sea Link,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd
540002,Shedung Toll Plaza,State,Shedung,Maharashtra,IRB
540003,Khalapur Toll Plaza,State,Khalapur,Maharashtra,IRB
540004,Kusgaon Toll Plaza,State,Kusgaon,Maharashtra,IRB
540005,Talegaon Toll Plaza,State,Talegaon,Maharashtra,IRB
540006,Shilphata NH48 Toll plaza,State,Kalyan,Maharashtra,IRB
540007,Shedung NH48 Toll plaza,State,Panvel,Maharashtra,IRB
540008,Kusgaon NH48 Toll plaza,State,Lonavala,Maharashtra,IRB
540009,Dehuroad NH48 Toll plaza,State,Pune,Maharashtra,IRB
540010,Vashi,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd
540011,Airoli,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd
540012,Mulund(EEH),State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd
540013,Mulund(LBS),State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd
540014,Dahisar,State,Mumbai,Maharashtra,MEP Infrastructure Pvt Ltd
540015,Arambha,State,Arambha,Maharashtra,ECA INFRASTRUCTURE INDIA PVT. LTD.
540016,Mhasane Phata,State,Ahmednagar,Maharashtra,Chetak Enterprises Limited.
540017,Katol Road,State,Nagpur,Maharashtra,GHAI Construction And JV
540018,Hingana Road,State,Nagpur,Maharashtra,GHAI Construction And JV
540019,Umred Road,State,Nagpur,Maharashtra,GHAI Construction And JV
540020,Ring Road,State,Nagpur,Maharashtra,GHAI Construction And JV
540021,Wadi Road,State,Nagpur,Maharashtra,GHAI Construction And JV
540022,MMKIPL Toll Plaza,State,Nashik,Maharashtra,MMK Infra and Toll
540023,Nanduri,State,Nanduri,Maharashtra,WCB Toll Road Ltd.
540024,Visapur,State,Visapur,Maharashtra,WCB Toll Road Ltd.
540025,Khadka plaza,State,Khadka village,Maharashtra,Keti Sangam Infrastructure
540026,Yelgaon Toll Plaza,State,Yelgaon Village,Maharashtra,Buldana Urban Credit Co op
540027,Datala toll plaza,State,Datala Village,Maharashtra,Buldana Urban Credit Co op
540028,Kopra Kharghar Toll Plaza,State,Navi Mumbai,Maharashtra,Sahakar Global Ltd.
540029,SPTPL Navi Mumbai,State,Navi Mumbai,Maharashtra,Sahakar Global Ltd.
540032,Nandani,National,Solapur,Maharashtra,NHAI
540033,Waifal Toll Plaza,State,Nagpur,Maharashtra,NMSCEL
540034,Seldoh Wadgaon Bakshi Toll,State,Wardha,Maharashtra,NMSCEL
540035,Yelkali Toll Plaza,State,Wardha,Maharashtra,NMSCEL
540036,Virul Toll Plaza,State,Wardha,Maharashtra,NMSCEL
540037,Dhamangaon Toll Plaza,State,Amravati,Maharashtra,NMSCEL
540038,Gavner Talegaon Shivni Toll,State,Amravati,Maharashtra,NMSCEL
540039,Karanja Lad Toll Plaza,State,Washim,Maharashtra,NMSCEL
